accident_year,accident_severity,number_of_vehicles,number_of_casualties,day_of_week,road_type,speed_limit,light_conditions,weather_conditions,road_surface_conditions,urban_or_rural_area,daytime,month,season,IMD_Decile,IncScore,EmpScore,HDDScore,EduScore,CriScore,EnvScore,is_grave_accident
2018,2,2,1,2,6,30,4,1,1,1,night (23-7),1,Winter,3,0.218,0.131,-0.344,7.115,0.755,42.846,Yes
2017,1,1,1,3,6,30,1,1,1,1,afternoon rush (16-19),4,Spring,3,0.218,0.131,-0.344,7.115,0.755,42.846,No
2018,2,2,1,2,6,30,1,1,1,1,office hours (10-16),1,Winter,4,0.125,0.067,-0.562,15.067,-0.211,40.163,Yes
2018,1,2,1,1,2,20,1,2,2,1,office hours (10-16),2,Winter,4,0.125,0.067,-0.562,15.067,-0.211,40.163,No
2018,1,2,1,4,6,30,4,1,1,1,evening (19-23),6,Summer,4,0.125,0.067,-0.562,15.067,-0.211,40.163,No
2019,1,2,1,5,1,20,4,1,1,1,evening (19-23),3,Spring,4,0.125,0.067,-0.562,15.067,-0.211,40.163,No
2019,1,4,1,3,6,30,1,1,1,1,evening (19-23),7,Summer,4,0.125,0.067,-0.562,15.067,-0.211,40.163,No
2019,1,2,1,6,1,20,1,1,1,1,morning rush (7-10),11,Autumn,4,0.125,0.067,-0.562,15.067,-0.211,40.163,No
2017,1,2,1,5,2,30,4,1,1,1,morning rush (7-10),1,Winter,4,0.125,0.067,-0.562,15.067,-0.211,40.163,No
2017,2,2,1,6,3,40,1,1,1,1,office hours (10-16),11,Autumn,4,0.125,0.067,-0.562,15.067,-0.211,40.163,Yes
2018,1,2,1,3,6,30,4,1,2,1,afternoon rush (16-19),1,Winter,1,0.296,0.195,0.676,41.633,1.799,42.882,No
2018,1,2,1,3,6,30,1,1,1,1,office hours (10-16),2,Winter,1,0.296,0.195,0.676,41.633,1.799,42.882,No
2018,1,2,1,4,6,30,4,1,2,1,evening (19-23),5,Spring,1,0.296,0.195,0.676,41.633,1.799,42.882,No
2019,1,1,1,4,3,30,1,2,2,1,morning rush (7-10),8,Summer,1,0.296,0.195,0.676,41.633,1.799,42.882,No
2019,1,2,1,1,2,30,1,2,2,1,afternoon rush (16-19),9,Autumn,1,0.296,0.195,0.676,41.633,1.799,42.882,No
2019,1,2,1,4,9,30,4,9,9,1,evening (19-23),11,Autumn,1,0.296,0.195,0.676,41.633,1.799,42.882,No
2020,1,2,1,2,3,30,1,1,1,1,office hours (10-16),6,Summer,1,0.296,0.195,0.676,41.633,1.799,42.882,No
2020,1,2,1,7,6,20,1,2,2,1,night (23-7),7,Summer,1,0.296,0.195,0.676,41.633,1.799,42.882,No
2017,1,3,1,1,6,30,4,1,1,1,evening (19-23),3,Spring,1,0.296,0.195,0.676,41.633,1.799,42.882,No
2017,1,2,1,2,6,30,1,1,1,1,office hours (10-16),6,Summer,1,0.296,0.195,0.676,41.633,1.799,42.882,No
2018,1,2,1,3,1,20,4,2,2,1,afternoon rush (16-19),1,Winter,3,0.175,0.107,0.677,6.937,0.589,43.662,No
2018,2,2,1,7,2,20,1,2,2,1,afternoon rush (16-19),10,Autumn,3,0.175,0.107,0.677,6.937,0.589,43.662,Yes
2019,1,2,1,2,6,20,1,8,1,1,office hours (10-16),5,Spring,3,0.175,0.107,0.677,6.937,0.589,43.662,No
2020,1,2,1,3,2,20,1,1,1,1,office hours (10-16),6,Summer,3,0.175,0.107,0.677,6.937,0.589,43.662,No
2017,1,2,1,5,9,20,1,1,1,1,morning rush (7-10),4,Spring,3,0.175,0.107,0.677,6.937,0.589,43.662,No
2018,1,2,1,3,6,20,4,2,2,1,evening (19-23),1,Winter,2,0.238,0.13,0.576,14.578,2.063,38.39,No
2018,1,2,1,5,6,30,4,2,2,1,evening (19-23),2,Winter,2,0.238,0.13,0.576,14.578,2.063,38.39,No
2018,1,2,1,6,6,30,1,1,1,1,morning rush (7-10),6,Summer,2,0.238,0.13,0.576,14.578,2.063,38.39,No
2018,1,3,1,7,6,20,1,1,1,1,afternoon rush (16-19),6,Summer,2,0.238,0.13,0.576,14.578,2.063,38.39,No
2018,1,2,1,3,6,20,1,1,1,1,morning rush (7-10),7,Summer,2,0.238,0.13,0.576,14.578,2.063,38.39,No
2018,1,1,1,7,3,30,4,1,1,1,night (23-7),9,Autumn,2,0.238,0.13,0.576,14.578,2.063,38.39,No
2019,2,2,1,1,6,20,4,1,1,1,night (23-7),4,Spring,2,0.238,0.13,0.576,14.578,2.063,38.39,Yes
2019,1,2,1,6,6,20,1,2,2,1,afternoon rush (16-19),5,Spring,2,0.238,0.13,0.576,14.578,2.063,38.39,No
2019,1,2,1,1,3,30,1,1,1,1,morning rush (7-10),5,Spring,2,0.238,0.13,0.576,14.578,2.063,38.39,No
2019,1,2,1,3,6,20,1,1,2,1,afternoon rush (16-19),6,Summer,2,0.238,0.13,0.576,14.578,2.063,38.39,No
2019,1,1,1,6,1,30,1,1,1,1,morning rush (7-10),5,Spring,2,0.238,0.13,0.576,14.578,2.063,38.39,No
2019,1,2,1,5,6,30,4,1,1,1,evening (19-23),11,Autumn,2,0.238,0.13,0.576,14.578,2.063,38.39,No
2020,1,2,1,3,6,20,4,5,2,1,afternoon rush (16-19),1,Winter,2,0.238,0.13,0.576,14.578,2.063,38.39,No
2020,1,2,1,6,6,20,4,1,1,1,evening (19-23),2,Winter,2,0.238,0.13,0.576,14.578,2.063,38.39,No
2020,1,2,1,5,9,20,1,1,1,1,afternoon rush (16-19),7,Summer,2,0.238,0.13,0.576,14.578,2.063,38.39,No
2020,1,2,1,6,2,20,1,1,1,1,afternoon rush (16-19),8,Summer,2,0.238,0.13,0.576,14.578,2.063,38.39,No
2020,2,2,1,2,9,30,1,9,9,1,afternoon rush (16-19),9,Autumn,2,0.238,0.13,0.576,14.578,2.063,38.39,Yes
2020,1,2,1,1,9,20,1,1,1,1,afternoon rush (16-19),7,Summer,2,0.238,0.13,0.576,14.578,2.063,38.39,No
2020,2,1,1,5,9,30,7,9,9,1,office hours (10-16),10,Autumn,2,0.238,0.13,0.576,14.578,2.063,38.39,Yes
2020,1,2,1,4,6,30,7,1,2,1,evening (19-23),12,Winter,2,0.238,0.13,0.576,14.578,2.063,38.39,No
2017,1,2,1,1,6,30,1,2,2,1,office hours (10-16),1,Winter,2,0.238,0.13,0.576,14.578,2.063,38.39,No
2017,1,2,1,2,6,20,1,1,2,1,morning rush (7-10),2,Winter,2,0.238,0.13,0.576,14.578,2.063,38.39,No
2017,1,2,1,3,6,30,4,1,1,1,afternoon rush (16-19),3,Spring,2,0.238,0.13,0.576,14.578,2.063,38.39,No
2017,1,1,1,2,2,30,1,1,2,1,morning rush (7-10),7,Summer,2,0.238,0.13,0.576,14.578,2.063,38.39,No
2017,2,2,1,3,3,20,4,1,1,1,night (23-7),8,Summer,2,0.238,0.13,0.576,14.578,2.063,38.39,Yes
2017,1,1,1,4,6,30,1,1,1,1,afternoon rush (16-19),11,Autumn,2,0.238,0.13,0.576,14.578,2.063,38.39,No
2018,1,2,1,3,6,20,4,2,2,1,evening (19-23),1,Winter,6,0.134,0.064,-0.05,10.429,-0.653,29.333,No
2018,1,2,1,6,6,20,4,1,1,1,evening (19-23),2,Winter,6,0.134,0.064,-0.05,10.429,-0.653,29.333,No
2018,1,2,1,3,6,20,1,1,1,1,morning rush (7-10),6,Summer,6,0.134,0.064,-0.05,10.429,-0.653,29.333,No
2018,1,2,1,2,6,30,1,1,1,1,office hours (10-16),6,Summer,6,0.134,0.064,-0.05,10.429,-0.653,29.333,No
2018,1,2,1,4,6,20,1,1,1,1,afternoon rush (16-19),10,Autumn,6,0.134,0.064,-0.05,10.429,-0.653,29.333,No
2020,1,2,1,3,6,20,1,1,1,1,afternoon rush (16-19),3,Spring,6,0.134,0.064,-0.05,10.429,-0.653,29.333,No
2020,2,3,2,4,7,20,1,1,1,1,office hours (10-16),11,Autumn,6,0.134,0.064,-0.05,10.429,-0.653,29.333,Yes
2018,1,2,1,3,2,30,4,2,2,1,afternoon rush (16-19),1,Winter,6,0.109,0.063,-0.015,5.611,0.148,36.402,No
2018,1,2,1,2,6,30,4,1,1,1,afternoon rush (16-19),2,Winter,6,0.109,0.063,-0.015,5.611,0.148,36.402,No
2018,1,2,1,4,6,30,1,1,1,1,night (23-7),4,Spring,6,0.109,0.063,-0.015,5.611,0.148,36.402,No
2018,1,2,1,5,6,20,1,1,1,1,morning rush (7-10),5,Spring,6,0.109,0.063,-0.015,5.611,0.148,36.402,No
2018,1,2,1,1,6,30,1,1,2,1,night (23-7),5,Spring,6,0.109,0.063,-0.015,5.611,0.148,36.402,No
2018,1,2,1,6,6,30,1,1,1,1,afternoon rush (16-19),6,Summer,6,0.109,0.063,-0.015,5.611,0.148,36.402,No
2018,1,2,1,4,3,30,1,1,1,1,afternoon rush (16-19),10,Autumn,6,0.109,0.063,-0.015,5.611,0.148,36.402,No
2019,2,2,1,2,6,30,1,2,2,1,morning rush (7-10),6,Summer,6,0.109,0.063,-0.015,5.611,0.148,36.402,Yes
2019,1,2,1,3,3,30,1,1,1,1,morning rush (7-10),7,Summer,6,0.109,0.063,-0.015,5.611,0.148,36.402,No
2019,1,1,1,1,6,30,4,1,1,1,evening (19-23),10,Autumn,6,0.109,0.063,-0.015,5.611,0.148,36.402,No
2020,1,2,1,5,6,30,1,2,2,1,morning rush (7-10),3,Spring,6,0.109,0.063,-0.015,5.611,0.148,36.402,No
2020,1,2,1,3,6,30,1,1,1,1,morning rush (7-10),4,Spring,6,0.109,0.063,-0.015,5.611,0.148,36.402,No
2020,1,2,1,7,9,30,1,1,1,1,evening (19-23),6,Summer,6,0.109,0.063,-0.015,5.611,0.148,36.402,No
2020,2,2,1,4,6,30,1,1,1,1,morning rush (7-10),7,Summer,6,0.109,0.063,-0.015,5.611,0.148,36.402,Yes
2020,1,2,1,6,6,30,1,1,1,1,morning rush (7-10),7,Summer,6,0.109,0.063,-0.015,5.611,0.148,36.402,No
2020,1,2,1,3,6,20,1,1,1,1,office hours (10-16),9,Autumn,6,0.109,0.063,-0.015,5.611,0.148,36.402,No
2017,1,2,1,5,3,30,1,1,1,1,office hours (10-16),1,Winter,6,0.109,0.063,-0.015,5.611,0.148,36.402,No
2017,1,2,1,2,6,30,1,1,2,1,morning rush (7-10),2,Winter,6,0.109,0.063,-0.015,5.611,0.148,36.402,No
2017,1,2,1,4,6,30,1,1,1,1,morning rush (7-10),2,Winter,6,0.109,0.063,-0.015,5.611,0.148,36.402,No
2017,1,2,1,3,6,20,1,1,1,1,evening (19-23),3,Spring,6,0.109,0.063,-0.015,5.611,0.148,36.402,No
2017,1,2,1,4,6,30,1,1,1,1,morning rush (7-10),3,Spring,6,0.109,0.063,-0.015,5.611,0.148,36.402,No
2017,1,2,1,6,6,30,1,1,1,1,night (23-7),6,Summer,6,0.109,0.063,-0.015,5.611,0.148,36.402,No
2017,2,1,1,7,6,30,4,1,1,1,night (23-7),6,Summer,6,0.109,0.063,-0.015,5.611,0.148,36.402,Yes
2017,2,2,1,5,3,30,1,8,1,1,morning rush (7-10),6,Summer,6,0.109,0.063,-0.015,5.611,0.148,36.402,Yes
2018,1,2,1,4,6,30,1,4,1,1,morning rush (7-10),1,Winter,4,0.134,0.081,-0.517,14.776,0.842,26.912,No
2018,2,2,1,6,6,30,1,1,1,1,morning rush (7-10),10,Autumn,4,0.134,0.081,-0.517,14.776,0.842,26.912,Yes
2018,1,2,1,4,6,20,1,1,1,1,office hours (10-16),1,Winter,5,0.135,0.083,-0.667,10.937,-0.974,51.268,No
2018,1,2,2,4,6,20,1,1,1,1,morning rush (7-10),3,Spring,5,0.135,0.083,-0.667,10.937,-0.974,51.268,No
2018,1,2,1,3,6,20,1,2,2,1,morning rush (7-10),3,Spring,5,0.135,0.083,-0.667,10.937,-0.974,51.268,No
2018,2,2,1,6,6,20,1,1,1,1,office hours (10-16),5,Spring,5,0.135,0.083,-0.667,10.937,-0.974,51.268,Yes
2018,1,1,1,6,6,30,1,1,1,1,morning rush (7-10),6,Summer,5,0.135,0.083,-0.667,10.937,-0.974,51.268,No
2018,1,2,1,2,6,30,1,1,1,1,morning rush (7-10),7,Summer,5,0.135,0.083,-0.667,10.937,-0.974,51.268,No
2018,2,2,1,5,6,20,1,1,1,1,morning rush (7-10),11,Autumn,5,0.135,0.083,-0.667,10.937,-0.974,51.268,Yes
2018,1,2,1,6,6,20,4,2,2,1,evening (19-23),11,Autumn,5,0.135,0.083,-0.667,10.937,-0.974,51.268,No
2018,2,2,1,3,6,30,4,2,2,1,evening (19-23),11,Autumn,5,0.135,0.083,-0.667,10.937,-0.974,51.268,Yes
2019,1,2,1,5,6,20,1,1,1,1,office hours (10-16),4,Spring,5,0.135,0.083,-0.667,10.937,-0.974,51.268,No
2019,1,2,1,4,3,20,1,1,1,1,morning rush (7-10),5,Spring,5,0.135,0.083,-0.667,10.937,-0.974,51.268,No
2019,2,3,1,4,6,30,1,1,1,1,evening (19-23),6,Summer,5,0.135,0.083,-0.667,10.937,-0.974,51.268,Yes
2019,1,2,1,3,9,30,1,9,9,1,afternoon rush (16-19),8,Summer,5,0.135,0.083,-0.667,10.937,-0.974,51.268,No
2019,2,2,1,5,6,30,1,1,1,1,evening (19-23),8,Summer,5,0.135,0.083,-0.667,10.937,-0.974,51.268,Yes
2019,1,2,1,4,6,30,1,1,1,1,morning rush (7-10),10,Autumn,5,0.135,0.083,-0.667,10.937,-0.974,51.268,No
2019,2,1,1,3,9,30,1,9,9,1,office hours (10-16),9,Autumn,5,0.135,0.083,-0.667,10.937,-0.974,51.268,Yes
2020,1,2,1,5,2,20,1,1,1,1,morning rush (7-10),8,Summer,5,0.135,0.083,-0.667,10.937,-0.974,51.268,No
2020,1,2,1,4,3,20,1,1,1,1,afternoon rush (16-19),8,Summer,5,0.135,0.083,-0.667,10.937,-0.974,51.268,No
2017,1,1,1,2,6,30,4,2,2,1,afternoon rush (16-19),1,Winter,5,0.135,0.083,-0.667,10.937,-0.974,51.268,No
2017,1,2,1,6,6,20,1,1,1,1,afternoon rush (16-19),2,Winter,5,0.135,0.083,-0.667,10.937,-0.974,51.268,No
2017,1,1,1,5,6,30,4,1,9,1,afternoon rush (16-19),3,Spring,5,0.135,0.083,-0.667,10.937,-0.974,51.268,No
2017,1,2,1,7,6,30,4,1,1,1,evening (19-23),3,Spring,5,0.135,0.083,-0.667,10.937,-0.974,51.268,No
2017,1,2,1,3,6,20,1,1,1,1,afternoon rush (16-19),5,Spring,5,0.135,0.083,-0.667,10.937,-0.974,51.268,No
2017,1,2,1,4,6,20,1,1,1,1,morning rush (7-10),8,Summer,5,0.135,0.083,-0.667,10.937,-0.974,51.268,No
2017,1,3,2,2,6,30,1,1,1,1,night (23-7),12,Winter,5,0.135,0.083,-0.667,10.937,-0.974,51.268,No
2018,1,2,1,4,6,30,1,4,1,1,office hours (10-16),1,Winter,4,0.104,0.052,-0.073,14.841,1.009,50.863,No
2018,1,2,1,6,2,20,1,1,1,1,office hours (10-16),3,Spring,4,0.104,0.052,-0.073,14.841,1.009,50.863,No
2018,1,2,1,4,2,20,1,1,1,1,office hours (10-16),6,Summer,4,0.104,0.052,-0.073,14.841,1.009,50.863,No
2019,2,1,1,1,2,30,1,1,1,1,night (23-7),2,Winter,4,0.104,0.052,-0.073,14.841,1.009,50.863,Yes
2019,1,2,1,7,9,30,1,1,1,1,afternoon rush (16-19),4,Spring,4,0.104,0.052,-0.073,14.841,1.009,50.863,No
2019,1,2,1,5,3,30,1,1,1,1,evening (19-23),5,Spring,4,0.104,0.052,-0.073,14.841,1.009,50.863,No
2019,1,2,1,7,6,30,1,1,1,1,office hours (10-16),6,Summer,4,0.104,0.052,-0.073,14.841,1.009,50.863,No
2020,1,2,1,2,9,20,1,1,9,1,night (23-7),1,Winter,4,0.104,0.052,-0.073,14.841,1.009,50.863,No
2020,1,2,1,3,2,30,1,1,1,1,office hours (10-16),4,Spring,4,0.104,0.052,-0.073,14.841,1.009,50.863,No
2020,1,2,1,5,2,30,1,1,1,1,afternoon rush (16-19),6,Summer,4,0.104,0.052,-0.073,14.841,1.009,50.863,No
2020,1,1,1,5,9,20,7,9,9,1,afternoon rush (16-19),10,Autumn,4,0.104,0.052,-0.073,14.841,1.009,50.863,No
2017,1,2,1,6,2,20,4,1,1,1,night (23-7),3,Spring,4,0.104,0.052,-0.073,14.841,1.009,50.863,No
2017,1,2,1,2,2,30,1,1,1,1,office hours (10-16),3,Spring,4,0.104,0.052,-0.073,14.841,1.009,50.863,No
2017,1,2,1,4,3,30,4,1,1,1,evening (19-23),3,Spring,4,0.104,0.052,-0.073,14.841,1.009,50.863,No
2017,2,1,1,3,6,30,4,1,1,1,night (23-7),5,Spring,4,0.104,0.052,-0.073,14.841,1.009,50.863,Yes
2017,1,2,1,6,6,20,4,9,9,1,morning rush (7-10),7,Summer,4,0.104,0.052,-0.073,14.841,1.009,50.863,No
2017,1,2,1,2,6,20,1,1,1,1,office hours (10-16),8,Summer,4,0.104,0.052,-0.073,14.841,1.009,50.863,No
2018,1,2,1,4,1,20,1,1,1,1,office hours (10-16),1,Winter,3,0.191,0.102,-0.033,9.924,0.93,31.59,No
2018,1,2,1,1,1,20,4,1,1,1,afternoon rush (16-19),1,Winter,3,0.191,0.102,-0.033,9.924,0.93,31.59,No
2018,1,2,1,2,1,30,1,1,2,1,morning rush (7-10),3,Spring,3,0.191,0.102,-0.033,9.924,0.93,31.59,No
2018,2,2,1,3,6,30,1,1,1,1,afternoon rush (16-19),3,Spring,3,0.191,0.102,-0.033,9.924,0.93,31.59,Yes
2018,1,2,1,5,6,20,1,1,1,1,afternoon rush (16-19),5,Spring,3,0.191,0.102,-0.033,9.924,0.93,31.59,No
2018,1,2,1,5,1,30,1,1,1,1,afternoon rush (16-19),9,Autumn,3,0.191,0.102,-0.033,9.924,0.93,31.59,No
2018,1,2,1,2,1,20,4,1,1,1,evening (19-23),10,Autumn,3,0.191,0.102,-0.033,9.924,0.93,31.59,No
2018,1,2,1,4,6,20,1,1,1,1,afternoon rush (16-19),10,Autumn,3,0.191,0.102,-0.033,9.924,0.93,31.59,No
2018,1,2,1,3,2,20,4,2,2,1,afternoon rush (16-19),12,Winter,3,0.191,0.102,-0.033,9.924,0.93,31.59,No
2019,1,2,1,5,6,20,1,4,1,1,afternoon rush (16-19),3,Spring,3,0.191,0.102,-0.033,9.924,0.93,31.59,No
2019,1,2,1,3,1,20,1,1,1,1,morning rush (7-10),4,Spring,3,0.191,0.102,-0.033,9.924,0.93,31.59,No
2019,1,2,1,6,1,30,1,1,1,1,evening (19-23),6,Summer,3,0.191,0.102,-0.033,9.924,0.93,31.59,No
2019,1,2,1,3,6,20,1,1,1,1,morning rush (7-10),7,Summer,3,0.191,0.102,-0.033,9.924,0.93,31.59,No
2019,1,2,1,7,3,30,4,1,1,1,night (23-7),8,Summer,3,0.191,0.102,-0.033,9.924,0.93,31.59,No
2019,1,2,1,2,1,30,1,1,1,1,morning rush (7-10),8,Summer,3,0.191,0.102,-0.033,9.924,0.93,31.59,No
2019,1,2,1,3,2,20,1,1,1,1,office hours (10-16),9,Autumn,3,0.191,0.102,-0.033,9.924,0.93,31.59,No
2019,1,2,1,7,3,30,1,9,9,1,morning rush (7-10),9,Autumn,3,0.191,0.102,-0.033,9.924,0.93,31.59,No
2017,1,2,1,2,9,20,4,9,9,1,evening (19-23),1,Winter,3,0.191,0.102,-0.033,9.924,0.93,31.59,No
2017,1,2,1,6,9,30,4,9,9,1,evening (19-23),5,Spring,3,0.191,0.102,-0.033,9.924,0.93,31.59,No
2017,2,2,1,1,1,20,4,1,1,1,evening (19-23),9,Autumn,3,0.191,0.102,-0.033,9.924,0.93,31.59,Yes
2017,1,2,1,6,6,30,4,2,2,1,evening (19-23),9,Autumn,3,0.191,0.102,-0.033,9.924,0.93,31.59,No
2017,2,2,1,5,1,30,1,1,1,1,afternoon rush (16-19),10,Autumn,3,0.191,0.102,-0.033,9.924,0.93,31.59,Yes
2017,1,2,1,6,1,20,1,2,2,1,morning rush (7-10),11,Autumn,3,0.191,0.102,-0.033,9.924,0.93,31.59,No
2017,1,2,1,4,1,20,1,1,1,1,morning rush (7-10),11,Autumn,3,0.191,0.102,-0.033,9.924,0.93,31.59,No
2018,1,1,1,4,1,30,1,1,2,1,morning rush (7-10),1,Winter,5,0.106,0.056,-0.159,4.169,0.587,35.297,No
2018,1,2,1,4,6,30,4,1,1,1,evening (19-23),4,Spring,5,0.106,0.056,-0.159,4.169,0.587,35.297,No
2018,1,2,1,3,6,20,1,1,1,1,evening (19-23),5,Spring,5,0.106,0.056,-0.159,4.169,0.587,35.297,No
2018,2,1,1,7,6,20,1,1,1,1,evening (19-23),6,Summer,5,0.106,0.056,-0.159,4.169,0.587,35.297,Yes
2018,1,2,1,2,3,20,1,1,1,1,evening (19-23),6,Summer,5,0.106,0.056,-0.159,4.169,0.587,35.297,No
2018,1,2,1,6,6,20,1,1,1,1,office hours (10-16),7,Summer,5,0.106,0.056,-0.159,4.169,0.587,35.297,No
2018,1,2,1,2,6,30,1,1,1,1,afternoon rush (16-19),7,Summer,5,0.106,0.056,-0.159,4.169,0.587,35.297,No
2018,1,2,1,5,6,20,4,1,1,1,evening (19-23),9,Autumn,5,0.106,0.056,-0.159,4.169,0.587,35.297,No
2019,1,2,1,4,6,20,1,1,1,1,morning rush (7-10),4,Spring,5,0.106,0.056,-0.159,4.169,0.587,35.297,No
2019,1,2,1,4,1,20,1,8,1,1,morning rush (7-10),5,Spring,5,0.106,0.056,-0.159,4.169,0.587,35.297,No
2019,1,2,1,1,6,30,1,8,2,1,night (23-7),7,Summer,5,0.106,0.056,-0.159,4.169,0.587,35.297,No
2020,1,1,1,4,6,30,4,1,1,1,evening (19-23),1,Winter,5,0.106,0.056,-0.159,4.169,0.587,35.297,No
2020,1,2,1,7,1,30,4,1,1,1,evening (19-23),10,Autumn,5,0.106,0.056,-0.159,4.169,0.587,35.297,No
2017,1,2,1,1,1,20,4,1,1,1,evening (19-23),6,Summer,5,0.106,0.056,-0.159,4.169,0.587,35.297,No
2017,2,2,1,1,6,20,4,1,1,1,night (23-7),10,Autumn,5,0.106,0.056,-0.159,4.169,0.587,35.297,Yes
2017,1,2,1,5,6,30,7,1,9,1,evening (19-23),12,Winter,5,0.106,0.056,-0.159,4.169,0.587,35.297,No
2018,1,1,2,4,2,30,4,4,1,2,morning rush (7-10),1,Winter,5,0.1,0.105,-1.141,7.629,-0.702,55.552,No
2018,1,2,1,4,3,30,5,1,1,1,afternoon rush (16-19),1,Winter,5,0.1,0.105,-1.141,7.629,-0.702,55.552,No
2018,2,1,2,5,6,30,4,1,1,2,evening (19-23),1,Winter,5,0.1,0.105,-1.141,7.629,-0.702,55.552,Yes
2018,1,2,1,5,3,30,1,1,1,1,morning rush (7-10),1,Winter,5,0.1,0.105,-1.141,7.629,-0.702,55.552,No
2018,1,2,1,4,7,20,1,2,2,1,morning rush (7-10),3,Spring,5,0.1,0.105,-1.141,7.629,-0.702,55.552,No
2018,1,3,1,2,3,30,1,1,1,1,morning rush (7-10),3,Spring,5,0.1,0.105,-1.141,7.629,-0.702,55.552,No
2018,1,2,1,2,6,30,1,1,1,2,office hours (10-16),4,Spring,5,0.1,0.105,-1.141,7.629,-0.702,55.552,No
2018,1,2,1,4,6,30,1,1,1,1,morning rush (7-10),4,Spring,5,0.1,0.105,-1.141,7.629,-0.702,55.552,No
2018,2,2,1,7,6,30,1,1,1,1,office hours (10-16),5,Spring,5,0.1,0.105,-1.141,7.629,-0.702,55.552,Yes
2018,2,2,1,5,3,30,1,1,1,2,evening (19-23),5,Spring,5,0.1,0.105,-1.141,7.629,-0.702,55.552,Yes
2018,2,2,1,6,6,20,1,1,1,1,office hours (10-16),5,Spring,5,0.1,0.105,-1.141,7.629,-0.702,55.552,Yes
2018,1,2,1,6,6,30,1,1,1,1,office hours (10-16),5,Spring,5,0.1,0.105,-1.141,7.629,-0.702,55.552,No
2018,1,2,1,5,6,20,1,1,1,1,morning rush (7-10),6,Summer,5,0.1,0.105,-1.141,7.629,-0.702,55.552,No
2018,1,2,1,3,6,30,1,1,1,2,morning rush (7-10),6,Summer,5,0.1,0.105,-1.141,7.629,-0.702,55.552,No
2018,1,1,1,5,3,30,4,1,1,1,evening (19-23),7,Summer,5,0.1,0.105,-1.141,7.629,-0.702,55.552,No
2018,1,2,1,6,6,30,1,1,1,1,morning rush (7-10),9,Autumn,5,0.1,0.105,-1.141,7.629,-0.702,55.552,No
2018,1,2,1,2,1,30,1,1,1,1,night (23-7),9,Autumn,5,0.1,0.105,-1.141,7.629,-0.702,55.552,No
2018,2,1,1,6,9,30,1,1,9,1,morning rush (7-10),8,Summer,5,0.1,0.105,-1.141,7.629,-0.702,55.552,Yes
2018,1,2,1,3,9,30,1,1,1,1,morning rush (7-10),10,Autumn,5,0.1,0.105,-1.141,7.629,-0.702,55.552,No
2018,1,2,1,2,1,30,4,1,1,1,night (23-7),11,Autumn,5,0.1,0.105,-1.141,7.629,-0.702,55.552,No
2019,1,1,1,4,6,30,4,2,2,2,afternoon rush (16-19),1,Winter,5,0.1,0.105,-1.141,7.629,-0.702,55.552,No
2019,1,1,2,4,3,20,4,1,1,1,office hours (10-16),2,Winter,5,0.1,0.105,-1.141,7.629,-0.702,55.552,No
2019,1,1,1,5,6,30,1,1,1,1,night (23-7),2,Winter,5,0.1,0.105,-1.141,7.629,-0.702,55.552,No
2019,2,1,1,3,2,30,4,1,1,1,office hours (10-16),2,Winter,5,0.1,0.105,-1.141,7.629,-0.702,55.552,Yes
2019,1,2,1,5,9,30,7,1,1,2,office hours (10-16),2,Winter,5,0.1,0.105,-1.141,7.629,-0.702,55.552,No
2019,1,2,1,4,6,30,4,4,1,2,afternoon rush (16-19),3,Spring,5,0.1,0.105,-1.141,7.629,-0.702,55.552,No
2019,2,1,1,2,6,20,1,8,1,1,night (23-7),4,Spring,5,0.1,0.105,-1.141,7.629,-0.702,55.552,Yes
2019,1,2,1,4,9,20,7,9,9,1,afternoon rush (16-19),4,Spring,5,0.1,0.105,-1.141,7.629,-0.702,55.552,No
2019,1,2,1,5,6,20,1,1,1,1,office hours (10-16),4,Spring,5,0.1,0.105,-1.141,7.629,-0.702,55.552,No
2019,2,1,1,2,6,30,1,1,1,1,morning rush (7-10),4,Spring,5,0.1,0.105,-1.141,7.629,-0.702,55.552,Yes
2019,1,2,1,3,1,30,1,1,1,1,morning rush (7-10),5,Spring,5,0.1,0.105,-1.141,7.629,-0.702,55.552,No
2019,2,2,1,4,1,30,1,1,1,1,afternoon rush (16-19),5,Spring,5,0.1,0.105,-1.141,7.629,-0.702,55.552,Yes
2019,2,2,1,5,6,30,1,1,1,1,afternoon rush (16-19),6,Summer,5,0.1,0.105,-1.141,7.629,-0.702,55.552,Yes
2019,2,1,2,5,6,30,1,1,1,2,afternoon rush (16-19),6,Summer,5,0.1,0.105,-1.141,7.629,-0.702,55.552,Yes
2019,1,2,1,4,3,30,1,1,1,1,afternoon rush (16-19),7,Summer,5,0.1,0.105,-1.141,7.629,-0.702,55.552,No
2019,1,1,2,6,6,30,1,1,1,1,afternoon rush (16-19),7,Summer,5,0.1,0.105,-1.141,7.629,-0.702,55.552,No
2019,1,1,1,3,6,30,1,1,1,1,evening (19-23),7,Summer,5,0.1,0.105,-1.141,7.629,-0.702,55.552,No
2019,1,3,1,4,7,20,1,1,1,1,afternoon rush (16-19),7,Summer,5,0.1,0.105,-1.141,7.629,-0.702,55.552,No
2019,1,2,1,7,6,30,1,1,1,1,office hours (10-16),6,Summer,5,0.1,0.105,-1.141,7.629,-0.702,55.552,No
